Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Spawn_Radius_M
3801,0.0,0.9665,0.0,False,False,3.4302,0.2494,3.0564,-3.8803,-3.1321,0.5314,-0.0027,-0.0001,-0.0003,-0.002,0.021,0.0436,0.4013,-0.0863,0.6685,0.8306,0.802,-0.26,0.01,0.0486,0.0636,-0.0722,0.01,-0.0582,-0.0202,2.5949,0.0
3901,0.0,0.9813,0.0,False,False,3.4343,0.2493,3.0522,-3.9017,-3.1361,0.5092,0.0001,0.0011,0.007,0.0464,0.0002,0.07,0.3418,-0.1014,0.6716,0.8257,0.802,-0.26,0.01,-0.0173,-0.0438,-0.0496,0.0358,-0.0751,-0.0264,-2.7533,0.0
4001,0.0,1.1896,-0.1225,False,False,2.066,-1.5606,2.145,-1.7982,-1.6306,0.0313,0.352,0.0027,0.8872,2.5243,-0.1059,0.2126,0.0101,-0.269,0.8053,0.8398,0.802,-0.26,0.01,0.0686,-0.0462,0.0298,0.0207,-0.0563,0.0391,-0.1638,0.0
4101,0.0,0.9891,0.0,False,False,4.8023,-3.3932,3.1416,-0.1013,-2.5529,4.2323,-0.0047,-0.0004,0.0015,0.2748,0.0473,0.156,0.0771,-0.0895,0.7183,0.7956,0.802,-0.26,0.01,0.0489,-0.0314,0.0792,0.0706,-0.0757,0.0421,2.1635,0.0
4201,0.0,1.0138,0.0,False,False,5.0786,-3.3932,3.1404,-0.1017,-2.5253,4.2117,-0.0008,-0.0005,0.0057,0.011,-0.0398,-0.0213,-0.0,-0.125,0.7003,0.7968,0.802,-0.26,0.01,0.0055,0.0758,-0.0154,0.0299,0.02,0.0705,-3.0408,0.0
4301,0.0,1.0463,0.0,False,False,5.5087,-3.3932,3.1365,-0.0897,-2.477,4.2411,0.3412,0.0,-0.0045,0.0716,0.1434,0.0875,-0.0001,-0.1788,0.6542,0.7959,0.802,-0.26,0.01,0.0735,0.0374,-0.0509,-0.01,0.0048,0.0607,-0.1523,0.0
4401,0.0,1.0665,0.0,False,False,6.2023,-3.3932,3.1332,-0.0279,-2.3303,4.3039,-0.005,0.0001,0.0096,0.0131,-0.018,-0.0261,0.0343,-0.2326,0.5487,0.7962,0.802,-0.26,0.01,0.0509,0.0287,-0.0477,0.0787,-0.0774,-0.0076,0.6608,0.0
4501,0.0,1.2102,-0.1365,False,False,2.0663,-1.5062,2.1495,-1.8602,-1.5974,0.0177,0.2624,0.5655,1.0713,2.085,0.4206,0.0573,0.0558,-0.2868,0.8169,0.8269,0.802,-0.26,0.01,0.0648,0.0541,0.078,0.0286,0.0035,0.0159,-0.4358,0.0
4601,0.0,1.0379,0.0052,False,False,3.5184,0.2495,2.8455,-4.6631,-3.1296,3.2364,0.0081,0.0018,-0.0007,0.0041,-0.0067,0.0249,0.192,-0.1784,0.6298,0.8173,0.802,-0.26,0.01,-0.0483,0.0404,0.0292,0.0208,-0.0382,0.0212,-2.2257,0.0
4701,0.0,1.0375,-0.0005,False,False,3.7972,0.2495,2.8454,-4.6623,-3.1261,3.0561,0.1588,0.0011,-0.0001,0.0008,-0.0025,0.0117,0.2139,-0.1957,0.5737,0.8129,0.802,-0.26,0.01,0.0715,0.0525,0.053,-0.0042,-0.0551,-0.0461,-0.1153,0.0
